node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2m	Apob	10090.ENSMUSP00000032203	10090.ENSMUSP00000036044	0	0	0	0	0.093	0	0	0.484	0.512
A2m	B2m	10090.ENSMUSP00000032203	10090.ENSMUSP00000099534	0	0	0	0	0	0.130	0	0.470	0.519
A2m	Trf	10090.ENSMUSP00000032203	10090.ENSMUSP00000035158	0	0	0	0	0.065	0.047	0	0.507	0.522
A2m	C1rb	10090.ENSMUSP00000032203	10090.ENSMUSP00000139376	0	0	0	0	0.064	0.136	0.167	0.379	0.526
A2m	C1s1	10090.ENSMUSP00000032203	10090.ENSMUSP00000125531	0	0	0	0	0.063	0.136	0.167	0.380	0.526
A2m	C1ra	10090.ENSMUSP00000032203	10090.ENSMUSP00000063707	0	0	0	0	0.064	0.136	0.167	0.379	0.526
A2m	C1s2	10090.ENSMUSP00000032203	10090.ENSMUSP00000066999	0	0	0	0	0.063	0.136	0.167	0.382	0.528
A2m	Gc	10090.ENSMUSP00000032203	10090.ENSMUSP00000046636	0	0	0	0	0.088	0	0	0.524	0.547
A2m	Serpina3m	10090.ENSMUSP00000032203	10090.ENSMUSP00000130979	0	0	0	0	0.063	0	0	0.541	0.551
A2m	Cfh	10090.ENSMUSP00000032203	10090.ENSMUSP00000107607	0	0	0	0	0.063	0.187	0	0.473	0.564
A2m	Crp	10090.ENSMUSP00000032203	10090.ENSMUSP00000044665	0	0	0	0	0.062	0.089	0	0.585	0.614
A2m	Hpx	10090.ENSMUSP00000032203	10090.ENSMUSP00000033185	0	0	0	0	0.066	0.077	0	0.619	0.643
A2m	Ttr	10090.ENSMUSP00000032203	10090.ENSMUSP00000074783	0	0	0	0	0.106	0	0	0.644	0.668
A2m	Cp	10090.ENSMUSP00000032203	10090.ENSMUSP00000088857	0	0	0	0	0.062	0	0	0.690	0.697
A2m	Serpinf2	10090.ENSMUSP00000032203	10090.ENSMUSP00000048704	0	0	0	0	0.062	0	0	0.696	0.703
A2m	Apoe	10090.ENSMUSP00000032203	10090.ENSMUSP00000133302	0	0	0	0	0.088	0.130	0	0.699	0.740
A2m	Serpinc1	10090.ENSMUSP00000032203	10090.ENSMUSP00000068971	0	0	0	0	0.097	0	0	0.791	0.803
A2m	Hp	10090.ENSMUSP00000032203	10090.ENSMUSP00000074436	0	0	0	0	0.063	0.136	0.167	0.778	0.830
A2m	Klkb1	10090.ENSMUSP00000032203	10090.ENSMUSP00000112174	0	0	0	0	0.089	0.136	0.652	0.736	0.918
A2m	Apoa1	10090.ENSMUSP00000032203	10090.ENSMUSP00000034588	0	0	0	0	0.063	0	0.900	0.660	0.965
A2m	Lrp1	10090.ENSMUSP00000032203	10090.ENSMUSP00000044004	0	0	0	0	0.069	0.402	0	0.957	0.974
A2m	Hspa5	10090.ENSMUSP00000032203	10090.ENSMUSP00000097747	0.041	0	0	0	0	0.401	0	0.983	0.990
Abcb9	Prdx2	10090.ENSMUSP00000031354	10090.ENSMUSP00000005292	0.043	0	0	0	0.052	0.132	0	0.069	0.168
Abcb9	Ywhaz	10090.ENSMUSP00000031354	10090.ENSMUSP00000022894	0	0	0	0	0	0.146	0	0.087	0.187
Abcb9	Psmb8	10090.ENSMUSP00000031354	10090.ENSMUSP00000025196	0	0.020	0	0	0.052	0.057	0	0.153	0.177
Abcb9	Vcp	10090.ENSMUSP00000031354	10090.ENSMUSP00000030164	0	0	0	0	0	0.161	0	0.069	0.185
Abcb9	Hspa5	10090.ENSMUSP00000031354	10090.ENSMUSP00000097747	0	0	0	0	0.062	0.108	0	0.071	0.154
Abcb9	Klkb1	10090.ENSMUSP00000031354	10090.ENSMUSP00000112174	0	0	0	0	0	0	0.129	0.087	0.170
Abcb9	Qsox1	10090.ENSMUSP00000031354	10090.ENSMUSP00000035658	0	0	0	0	0	0	0	0.172	0.172
Abcb9	Spata5	10090.ENSMUSP00000031354	10090.ENSMUSP00000103747	0	0	0	0	0	0.161	0	0.069	0.185
Abcb9	B2m	10090.ENSMUSP00000031354	10090.ENSMUSP00000099534	0	0	0	0	0.079	0.050	0	0.147	0.188
Abcb9	Lap3	10090.ENSMUSP00000031354	10090.ENSMUSP00000040222	0	0	0	0	0.061	0	0	0.191	0.208
Acta1	Cfp	10090.ENSMUSP00000034453	10090.ENSMUSP00000001156	0	0	0	0	0	0.203	0	0.089	0.243
Acta1	Col1a1	10090.ENSMUSP00000034453	10090.ENSMUSP00000001547	0	0	0	0	0.089	0	0	0.697	0.712
Acta1	Eif2ak4	10090.ENSMUSP00000034453	10090.ENSMUSP00000005233	0	0	0	0	0	0	0	0.156	0.156
Acta1	Hspa1l	10090.ENSMUSP00000034453	10090.ENSMUSP00000007248	0	0	0	0	0	0.652	0	0.107	0.676
Acta1	Psmb1	10090.ENSMUSP00000034453	10090.ENSMUSP00000014913	0	0	0	0	0.062	0.058	0.136	0.179	0.289
Acta1	Hspa8	10090.ENSMUSP00000034453	10090.ENSMUSP00000015800	0	0	0	0	0	0.140	0	0.267	0.343
Acta1	Vtn	10090.ENSMUSP00000034453	10090.ENSMUSP00000017488	0	0	0	0	0	0	0	0.201	0.201
Acta1	Tns4	10090.ENSMUSP00000034453	10090.ENSMUSP00000017751	0	0	0	0	0	0.047	0.331	0.050	0.341
Acta1	Cdk1	10090.ENSMUSP00000034453	10090.ENSMUSP00000020099	0	0	0	0	0.063	0.067	0	0.202	0.241
Acta1	Egfr	10090.ENSMUSP00000034453	10090.ENSMUSP00000020329	0	0	0	0	0	0.209	0	0.297	0.420
Acta1	Efemp1	10090.ENSMUSP00000034453	10090.ENSMUSP00000020759	0	0	0	0	0	0.086	0	0.134	0.175
Acta1	Psma6	10090.ENSMUSP00000034453	10090.ENSMUSP00000021412	0	0	0	0	0.061	0.088	0.136	0.068	0.218
Acta1	Gpld1	10090.ENSMUSP00000034453	10090.ENSMUSP00000021773	0	0	0	0	0	0.044	0.214	0	0.216
Acta1	Thbs4	10090.ENSMUSP00000034453	10090.ENSMUSP00000022213	0	0	0	0	0.080	0	0	0.197	0.230
Acta1	Psmb5	10090.ENSMUSP00000034453	10090.ENSMUSP00000022803	0	0	0	0	0.061	0.085	0.136	0.095	0.238
Acta1	Ywhaz	10090.ENSMUSP00000034453	10090.ENSMUSP00000022894	0	0	0	0	0.063	0.201	0	0.485	0.581
Acta1	Tfrc	10090.ENSMUSP00000034453	10090.ENSMUSP00000023486	0	0	0	0	0.063	0	0	0.318	0.334
Acta1	Adipoq	10090.ENSMUSP00000034453	10090.ENSMUSP00000023593	0	0	0	0	0.107	0	0	0.198	0.254
Acta1	Hbb-bs	10090.ENSMUSP00000034453	10090.ENSMUSP00000023934	0	0	0	0	0	0.091	0	0.189	0.231
Acta1	Psmb8	10090.ENSMUSP00000034453	10090.ENSMUSP00000025196	0	0	0	0	0.052	0.085	0.136	0.076	0.215
Acta1	Gsn	10090.ENSMUSP00000034453	10090.ENSMUSP00000028239	0	0	0	0	0.062	0.927	0.676	0.322	0.982
Acta1	Cat	10090.ENSMUSP00000034453	10090.ENSMUSP00000028610	0	0	0	0	0.061	0.090	0	0.277	0.328
Acta1	F2	10090.ENSMUSP00000034453	10090.ENSMUSP00000028681	0	0	0	0	0	0.041	0	0.188	0.188
Acta1	Psma7	10090.ENSMUSP00000034453	10090.ENSMUSP00000029082	0	0	0	0	0.050	0.058	0.136	0.074	0.188
Acta1	Aldob	10090.ENSMUSP00000034453	10090.ENSMUSP00000029987	0	0	0	0	0.064	0.048	0	0.161	0.187
Acta1	Vcp	10090.ENSMUSP00000034453	10090.ENSMUSP00000030164	0	0	0	0	0.061	0.090	0	0.225	0.280
Acta1	Psmb2	10090.ENSMUSP00000034453	10090.ENSMUSP00000030642	0	0	0	0	0.052	0.088	0.136	0.060	0.203
Acta1	Alb	10090.ENSMUSP00000034453	10090.ENSMUSP00000031314	0	0	0	0	0	0.660	0	0.532	0.834
Acta1	Psma1	10090.ENSMUSP00000034453	10090.ENSMUSP00000033008	0	0	0	0	0.062	0.075	0.136	0.061	0.202
Acta1	Psmb10	10090.ENSMUSP00000034453	10090.ENSMUSP00000034369	0	0	0	0	0.062	0.085	0.136	0.067	0.215
Acta1	Spata5	10090.ENSMUSP00000034453	10090.ENSMUSP00000103747	0	0	0	0	0	0.090	0	0.105	0.150
Acta1	Sh3d21	10090.ENSMUSP00000034453	10090.ENSMUSP00000095501	0	0	0	0	0.051	0.132	0	0.055	0.153
Acta1	Afm	10090.ENSMUSP00000034453	10090.ENSMUSP00000108804	0	0	0	0	0	0.159	0	0	0.158
Acta1	Igfals	10090.ENSMUSP00000034453	10090.ENSMUSP00000060169	0	0	0	0	0	0.132	0	0.071	0.159
Acta1	Tgm2	10090.ENSMUSP00000034453	10090.ENSMUSP00000099411	0	0	0	0	0.049	0.042	0	0.152	0.160
Acta1	Apoa1	10090.ENSMUSP00000034453	10090.ENSMUSP00000034588	0	0	0	0	0	0	0	0.161	0.161
Acta1	Fbln1	10090.ENSMUSP00000034453	10090.ENSMUSP00000054583	0	0	0	0	0	0.086	0	0.121	0.162
Acta1	Mad2l1	10090.ENSMUSP00000034453	10090.ENSMUSP00000098897	0	0	0	0	0.062	0.067	0	0.119	0.162
Acta1	Igj	10090.ENSMUSP00000034453	10090.ENSMUSP00000084259	0	0	0	0	0	0	0	0.172	0.172
Acta1	C1qb	10090.ENSMUSP00000034453	10090.ENSMUSP00000040246	0	0	0	0	0.061	0	0	0.157	0.175
Acta1	Psma5	10090.ENSMUSP00000034453	10090.ENSMUSP00000088057	0	0	0	0	0	0.058	0.136	0.071	0.177
Acta1	Cfi	10090.ENSMUSP00000034453	10090.ENSMUSP00000077074	0	0	0	0	0	0.042	0	0.180	0.180
Acta1	Ect2	10090.ENSMUSP00000034453	10090.ENSMUSP00000103935	0	0	0	0	0	0.084	0	0.144	0.182
Acta1	Actbl2	10090.ENSMUSP00000034453	10090.ENSMUSP00000052086	0	0	0	0.984	0.142	0.093	0	0.170	0.190
Acta1	Psma4	10090.ENSMUSP00000034453	10090.ENSMUSP00000034848	0	0	0	0	0.063	0.058	0.136	0.068	0.194
Acta1	Aldoa	10090.ENSMUSP00000034453	10090.ENSMUSP00000084846	0	0	0	0	0.084	0.048	0	0.152	0.197
Acta1	Hspa2	10090.ENSMUSP00000034453	10090.ENSMUSP00000079306	0	0	0	0	0	0.140	0	0.107	0.199
Acta1	Fap	10090.ENSMUSP00000034453	10090.ENSMUSP00000099793	0	0	0	0	0.058	0	0	0.190	0.204
Acta1	Aldh1a1	10090.ENSMUSP00000034453	10090.ENSMUSP00000084918	0	0	0	0	0.120	0	0	0.166	0.234
Acta1	Mfap4	10090.ENSMUSP00000034453	10090.ENSMUSP00000070848	0	0	0	0	0.051	0.046	0	0.223	0.235
Acta1	Apoe	10090.ENSMUSP00000034453	10090.ENSMUSP00000133302	0	0	0	0	0	0.047	0	0.238	0.242
Acta1	Pkm	10090.ENSMUSP00000034453	10090.ENSMUSP00000034834	0	0	0	0	0.114	0	0	0.190	0.251
Acta1	Loxl1	10090.ENSMUSP00000034453	10090.ENSMUSP00000057406	0	0	0	0	0.067	0	0	0.235	0.255
Acta1	Dnah8	10090.ENSMUSP00000034453	10090.ENSMUSP00000127878	0	0	0	0	0	0.163	0	0.148	0.257
Acta1	Hspa1b	10090.ENSMUSP00000034453	10090.ENSMUSP00000133815	0	0	0	0	0	0.140	0	0.199	0.281
Acta1	Thbs1	10090.ENSMUSP00000034453	10090.ENSMUSP00000044903	0	0	0	0	0	0	0	0.294	0.294
Acta1	Psmb3	10090.ENSMUSP00000034453	10090.ENSMUSP00000099436	0	0	0	0	0.052	0.058	0.136	0.194	0.295
Acta1	Psma3	10090.ENSMUSP00000034453	10090.ENSMUSP00000125548	0	0	0	0	0	0.171	0.136	0.098	0.297
